Name,Year,Lat,SST,Shear,Humidity,Pressure,Type
UNNAMED,2006,5.5,28.743072509765625,8.042121887207031,80.52244567871094,1012.610595703125,Real Observation
CHANCHU,2006,8.2,28.631744384765625,11.30883502960205,78.2861557006836,1012.9255981445312,Real Observation
JELAWAT,2006,16.7,25.008697509765625,12.852974891662598,84.59283447265625,1019.5806274414062,Real Observation
EWINIAR,2006,7.2,28.623931884765625,10.200425148010254,78.66991424560547,1012.6755981445312,Real Observation
BILIS,2006,14.1,28.162017822265625,9.088082313537598,74.40901184082031,1016.838134765625,Real Observation
KAEMI,2006,10.5,28.049713134765625,9.775583267211914,71.7742919921875,1015.2806396484375,Real Observation
PRAPIROON,2006,16.7,27.196197509765625,9.515848159790039,77.25932312011719,1017.610595703125,Real Observation
SAOMAI,2006,11.1,28.019439697265625,9.686153411865234,67.16487121582031,1015.485595703125,Real Observation
MARIA,2006,26.6,24.951080322265625,8.928661346435547,74.03372192382812,1020.1631469726562,Real Observation
BOPHA,2006,22.0,26.746978759765625,12.594954490661621,64.56770324707031,1023.3356323242188,Real Observation
WUKONG,2006,24.6,25.920806884765625,8.726174354553223,71.69499969482422,1021.9506225585938,Real Observation
SONAMU,2006,18.4,27.490142822265625,8.82661247253418,71.83065795898438,1019.9081420898438,Real Observation
IOKE,2006,10.6,28.297760009765625,13.048624038696289,73.18223571777344,1014.380615234375,Real Observation
SHANSHAN,2006,16.9,27.974517822265625,8.001267433166504,69.3318099975586,1018.7306518554688,Real Observation
YAGI,2006,20.8,26.646392822265625,8.522875785827637,56.15608215332031,1022.2531127929688,Real Observation
XANGSANE,2006,11.8,28.712799072265625,10.738897323608398,75.60194396972656,1014.6181030273438,Real Observation
BEBINCA,2006,18.2,27.576080322265625,9.058409690856934,74.14356994628906,1019.693115234375,Real Observation
SOULIK,2006,17.1,27.296783447265625,10.905510902404785,69.1006851196289,1018.358154296875,Real Observation
CIMARON,2006,12.6,28.178619384765625,11.257164001464844,76.3513412475586,1015.2406005859375,Real Observation
CHEBI,2006,15.8,28.294830322265625,9.80898380279541,75.6948471069336,1017.8630981445312,Real Observation
DURIAN,2006,10.0,28.159088134765625,9.96463394165039,74.64147186279297,1014.8056030273438,Real Observation
UTOR,2006,10.1,28.645416259765625,11.158607482910156,74.01388549804688,1014.24560546875,Real Observation
KONG-REY,2007,8.6,28.147369384765625,11.68936538696289,76.52619171142578,1013.0731201171875,Real Observation
YUTU,2007,9.2,28.464752197265625,9.737916946411133,75.42906188964844,1014.1781005859375,Real Observation
TORAJI,2007,20.2,,8.075740814208984,,1024.47314453125,Real Observation
MAN-YI,2007,9.6,28.182525634765625,10.001225471496582,75.8596420288086,1014.3981323242188,Real Observation
USAGI,2007,18.2,27.547760009765625,7.829286575317383,64.3204116821289,1019.2731323242188,Real Observation
PABUK,2007,19.6,27.844635009765625,4.626245498657227,68.2918930053711,1020.1681518554688,Real Observation
SEPAT,2007,17.3,27.967681884765625,7.335333824157715,66.81346893310547,1018.8656005859375,Real Observation
FITOW,2007,20.6,26.892486572265625,9.095582962036133,60.080474853515625,1021.4981079101562,Real Observation
DANAS,2007,27.5,22.923736572265625,10.374906539916992,62.386810302734375,1023.005615234375,Real Observation
NARI,2007,22.0,26.998931884765625,12.134865760803223,69.40401458740234,1022.3956298828125,Real Observation
WIPHA,2007,20.3,27.068267822265625,12.170352935791016,76.92499542236328,1021.235595703125,Real Observation
FRANCISCO,2007,19.4,23.819244384765625,12.829924583435059,78.68722534179688,1023.713134765625,Real Observation
LEKIMA,2007,14.6,25.656158447265625,11.217168807983398,86.19137573242188,1017.7506103515625,Real Observation
KROSA,2007,17.0,28.220611572265625,9.329690933227539,74.85871124267578,1018.8005981445312,Real Observation
HAIYAN,2007,27.5,22.494049072265625,6.372866630554199,50.70399475097656,1026.6781005859375,Real Observation
LINGLING,2007,25.8,24.906158447265625,5.3559064865112305,49.566768646240234,1026.340576171875,Real Observation
KAJIKI,2007,19.1,27.788970947265625,6.7257208824157715,70.76507568359375,1019.8556518554688,Real Observation
FAXAI,2007,23.9,26.149322509765625,9.293205261230469,55.254234313964844,1025.568115234375,Real Observation
PEIPAH,2007,17.9,27.444244384765625,10.745683670043945,78.47245788574219,1019.9556274414062,Real Observation
TAPAH,2007,21.2,27.688385009765625,0.4387083649635315,61.037288665771484,1020.8856201171875,Real Observation
HAGIBIS,2007,10.0,28.189361572265625,8.43029499053955,76.69027709960938,1013.610595703125,Real Observation
MITAG,2007,13.6,28.272369384765625,8.746109962463379,72.66077423095703,1016.443115234375,Real Observation
UNNAMED,2008,12.8,27.583892822265625,9.899873733520508,79.13690948486328,1016.0856323242188,Real Observation
NEOGURI,2008,9.0,28.182525634765625,9.073978424072266,76.6036605834961,1013.2406005859375,Real Observation
RAMMASUN,2008,8.2,28.844635009765625,10.82275104522705,75.14164733886719,1013.4706420898438,Real Observation
HALONG,2008,14.0,26.742095947265625,6.815765380859375,86.13567352294922,1016.4281005859375,Real Observation
MATMO,2008,22.3,25.146392822265625,12.319836616516113,64.73690032958984,1024.983154296875,Real Observation
NAKRI,2008,14.4,27.984283447265625,8.646188735961914,74.6256332397461,1017.2931518554688,Real Observation
FENGSHEN,2008,9.6,28.684478759765625,10.995832443237305,75.91272735595703,1013.9681396484375,Real Observation
KALMAEGI,2008,18.1,27.404205322265625,12.783095359802246,74.41411590576172,1020.8056030273438,Real Observation
FUNG-WONG,2008,21.7,26.554595947265625,12.609898567199707,69.37191772460938,1022.985595703125,Real Observation
KAMMURI,2008,20.0,24.408111572265625,13.512924194335938,73.46598815917969,1024.05810546875,Real Observation
KIKA,2008,10.4,28.297760009765625,13.048624038696289,73.18223571777344,1014.380615234375,Real Observation
UNNAMED,2008,30.8,19.432525634765625,6.907166004180908,37.11341857910156,1031.9180908203125,Real Observation
VONGFONG,2008,28.2,23.047760009765625,7.088571548461914,40.11424255371094,1026.76806640625,Real Observation
NURI,2008,15.9,27.966705322265625,8.424165725708008,74.64034271240234,1018.173095703125,Real Observation
UNNAMED,2008,17.5,27.327056884765625,12.570168495178223,76.27161407470703,1020.1906127929688,Real Observation
SINLAKU,2008,16.3,28.230377197265625,10.775004386901855,78.6733627319336,1018.5631103515625,Real Observation
UNNAMED,2008,30.4,22.483306884765625,6.833642482757568,62.36783218383789,1018.9880981445312,Real Observation
UNNAMED,2008,35.4,21.601470947265625,12.253776550292969,86.28860473632812,1016.8831176757812,Real Observation
HAGUPIT,2008,14.1,28.248931884765625,9.45293140411377,77.00176239013672,1016.640625,Real Observation
JANGMI,2008,11.6,27.950103759765625,9.028707504272461,78.12255859375,1015.7056274414062,Real Observation
HIGOS,2008,9.0,29.016510009765625,10.826519966125488,76.57140350341797,1013.1755981445312,Real Observation
MEKKHALA,2008,16.5,24.796783447265625,11.675662994384766,81.87518310546875,1020.8256225585938,Real Observation
UNNAMED,2008,19.2,,3.832402467727661,,1024.2506103515625,Real Observation
BAVI,2008,24.7,25.431549072265625,7.297358512878418,69.01802062988281,1020.72314453125,Real Observation
MAYSAK,2008,13.0,27.788970947265625,11.753085136413574,79.32386779785156,1015.5806274414062,Real Observation
NOUL,2008,10.4,28.379791259765625,10.273754119873047,79.8198471069336,1014.5531005859375,Real Observation
HAISHEN,2008,26.3,24.137603759765625,8.350081443786621,66.11844635009766,1020.6881103515625,Real Observation
DOLPHIN,2008,13.1,27.949127197265625,8.423999786376953,67.93416595458984,1016.453125,Real Observation
KUJIRA,2009,13.4,28.412994384765625,9.96041202545166,75.86957550048828,1016.7380981445312,Real Observation
CHAN-HOM,2009,10.2,26.859283447265625,10.314071655273438,84.40015411376953,1015.0931396484375,Real Observation
LINFA,2009,17.9,24.816314697265625,14.540453910827637,81.55532836914062,1020.91064453125,Real Observation
NANGKA,2009,11.3,28.691314697265625,10.61169147491455,74.7252197265625,1014.6006469726562,Real Observation
SOUDELOR,2009,19.8,24.332916259765625,13.606457710266113,75.3447265625,1023.795654296875,Real Observation
MOLAVE,2009,18.1,27.416900634765625,12.908345222473145,74.00677490234375,1020.735595703125,Real Observation
GONI,2009,20.2,23.860260009765625,12.355195999145508,73.2670669555664,1024.880615234375,Real Observation
MORAKOT,2009,22.3,27.309478759765625,11.5123929977417,71.32402801513672,1021.9181518554688,Real Observation
ETAU,2009,29.1,21.929595947265625,6.159472465515137,39.4168586730957,1026.84814453125,Real Observation
MAKA,2009,13.9,27.279205322265625,11.508586883544922,62.09857940673828,1017.2606201171875,Real Observation
VAMCO,2009,14.0,27.192291259765625,11.463117599487305,64.60160827636719,1017.2481079101562,Real Observation
KROVANH,2009,22.6,27.037017822265625,6.243742942810059,67.44940185546875,1020.9306030273438,Real Observation
DUJUAN,2009,18.8,27.270416259765625,8.64313793182373,74.6881332397461,1020.0406494140625,Real Observation
KOPPU,2009,19.3,25.402252197265625,15.39761734008789,73.20506286621094,1022.0181274414062,Real Observation
CHOI-WAN,2009,15.3,27.594635009765625,10.333209991455078,66.24919891357422,1017.5131225585938,Real Observation
KETSANA,2009,15.3,27.777252197265625,11.17822265625,79.91992950439453,1018.3630981445312,Real Observation
PARMA,2009,9.2,28.267486572265625,10.607680320739746,76.13675689697266,1014.0381469726562,Real Observation
MELOR,2009,10.9,27.971588134765625,12.077985763549805,69.10429382324219,1014.515625,Real Observation
NEPARTAK,2009,21.4,27.156158447265625,0.886669933795929,61.69424819946289,1020.8131103515625,Real Observation
LUPIT,2009,11.5,27.989166259765625,9.108202934265137,69.22315216064453,1015.880615234375,Real Observation
MIRINAE,2009,13.3,27.721588134765625,9.702061653137207,68.20209503173828,1016.3831176757812,Real Observation
UNNAMED,2009,20.7,26.598541259765625,8.645818710327148,58.4437141418457,1021.9255981445312,Real Observation
NIDA,2009,8.3,27.942291259765625,10.291738510131836,76.56634521484375,1013.703125,Real Observation
UNNAMED,2009,23.4,25.669830322265625,4.808196067810059,72.44441223144531,1020.7531127929688,Real Observation
OMAIS,2010,8.9,28.119049072265625,9.816081047058105,76.68840789794922,1013.9156494140625,Real Observation
CONSON,2010,14.0,28.190338134765625,9.87794017791748,72.07244873046875,1016.505615234375,Real Observation
CHANTHU,2010,15.7,24.210845947265625,10.920165061950684,94.80107879638672,1017.9706420898438,Real Observation
DIANMU,2010,24.3,24.271392822265625,8.711271286010742,51.79119873046875,1028.2281494140625,Real Observation
MINDULLE,2010,16.1,25.042877197265625,11.682422637939453,83.74107360839844,1020.2531127929688,Real Observation
LIONROCK,2010,18.8,24.562408447265625,14.667046546936035,78.9135971069336,1022.015625,Real Observation
KOMPASU,2010,19.5,27.604400634765625,4.039423942565918,66.48255157470703,1020.2506103515625,Real Observation
NAMTHEUN,2010,26.0,20.121002197265625,7.661468029022217,52.675636291503906,1030.8431396484375,Real Observation
MALOU,2010,24.2,23.726470947265625,8.763192176818848,51.34368133544922,1027.2205810546875,Real Observation
MERANTI,2010,20.7,24.992095947265625,13.958460807800293,68.30328369140625,1024.57568359375,Real Observation
FANAPI,2010,20.0,26.297760009765625,13.687938690185547,77.14054870605469,1021.6556396484375,Real Observation
MALAKAS,2010,18.9,27.502838134765625,5.79455041885376,67.21642303466797,1019.9306030273438,Real Observation
MEGI,2010,11.8,28.121978759765625,9.181055068969727,76.63027954101562,1015.9906005859375,Real Observation
CHABA,2010,16.6,28.206939697265625,8.987982749938965,75.15690612792969,1018.3781127929688,Real Observation
JAL,2010,8.7,26.744049072265625,11.574448585510254,84.87395477294922,1014.34814453125,Real Observation
OMEKA,2010,23.6,26.111236572265625,6.519925117492676,50.74043273925781,1024.7830810546875,Real Observation
AERE,2011,12.6,28.541900634765625,10.848217964172363,75.4104995727539,1015.3106079101562,Real Observation
SONGDA,2011,9.2,28.415924072265625,9.482566833496094,76.9144515991211,1014.0431518554688,Real Observation
HAIMA,2011,21.2,20.540924072265625,9.87144947052002,76.89647674560547,1025.838134765625,Real Observation
MEARI,2011,15.1,28.604400634765625,11.230563163757324,76.36415100097656,1017.3431396484375,Real Observation
MA-ON,2011,19.0,27.208892822265625,10.132773399353027,64.00212097167969,1020.0406494140625,Real Observation
NOCK-TEN,2011,14.0,27.913970947265625,10.033843994140625,80.37960052490234,1016.87060546875,Real Observation
MUIFA,2011,11.7,28.344635009765625,9.67995548248291,76.61079406738281,1015.765625,Real Observation
MERBOK,2011,23.5,26.196197509765625,6.990610122680664,52.64445495605469,1024.5380859375,Real Observation
NANMADOL,2011,15.7,28.384674072265625,10.291587829589844,70.00717163085938,1018.1281127929688,Real Observation
TALAS,2011,20.4,27.409088134765625,2.141266345977783,65.94784545898438,1020.6681518554688,Real Observation
NORU,2011,22.3,26.796783447265625,6.101753234863281,60.58933639526367,1021.2181396484375,Real Observation
KULAP,2011,21.8,26.827056884765625,10.391087532043457,76.72831726074219,1021.30810546875,Real Observation
ROKE,2011,26.1,22.732330322265625,8.005764961242676,48.474830627441406,1027.3206787109375,Real Observation
SONCA,2011,23.0,26.197174072265625,4.668523788452148,55.48991394042969,1021.6281127929688,Real Observation
NESAT,2011,13.7,28.005767822265625,9.076461791992188,77.57762145996094,1016.923095703125,Real Observation
HAITANG,2011,17.0,25.055572509765625,12.812451362609863,80.9986572265625,1020.9456176757812,Real Observation
NALGAE,2011,19.0,27.937408447265625,4.858091354370117,66.595458984375,1019.943115234375,Real Observation
WASHI,2011,7.3,28.496978759765625,11.64126968383789,78.54151153564453,1012.2380981445312,Real Observation
PAKHAR,2012,9.6,27.145416259765625,10.049332618713379,83.44384765625,1014.453125,Real Observation
SANVU,2012,12.5,27.961822509765625,9.3384370803833,68.97886657714844,1016.3031005859375,Real Observation
MAWAR,2012,14.9,28.292877197265625,10.604155540466309,77.2120361328125,1017.62060546875,Real Observation
GUCHOL,2012,9.6,28.182525634765625,10.001225471496582,75.8596420288086,1014.3981323242188,Real Observation
TALIM,2012,19.0,24.264556884765625,12.564264297485352,78.24057006835938,1023.3131103515625,Real Observation
DOKSURI,2012,15.3,28.440338134765625,11.107291221618652,73.9007568359375,1017.6856079101562,Real Observation
KHANUN,2012,24.8,25.333892822265625,8.525374412536621,58.49471664428711,1024.528076171875,Real Observation
VICENTE,2012,19.2,24.448150634765625,14.207146644592285,77.4041519165039,1022.8831176757812,Real Observation
SAOLA,2012,16.4,28.040924072265625,11.264479637145996,78.62776184082031,1018.8005981445312,Real Observation
DAMREY,2012,25.6,24.763580322265625,8.065817832946777,76.289794921875,1020.3881225585938,Real Observation
HAIKUI,2012,25.4,23.941314697265625,7.4435906410217285,51.283390045166016,1025.6256103515625,Real Observation
KIROGI,2012,25.1,24.284088134765625,5.479172706604004,51.8900260925293,1025.9605712890625,Real Observation
KAI-TAK,2012,16.7,28.206939697265625,9.906737327575684,71.84957885742188,1018.9031372070312,Real Observation
TEMBIN,2012,17.7,27.442291259765625,13.000876426696777,75.98365783691406,1020.2731323242188,Real Observation
BOLAVEN,2012,17.5,27.978424072265625,6.016765594482422,75.91202545166016,1019.1481323242188,Real Observation
SANBA,2012,10.8,28.391510009765625,10.690116882324219,75.72366333007812,1014.860595703125,Real Observation
JELAWAT,2012,13.4,28.265533447265625,10.399840354919434,72.81865692138672,1015.9931030273438,Real Observation
EWINIAR,2012,21.1,27.759674072265625,1.3944512605667114,61.719791412353516,1020.9681396484375,Real Observation
GAEMI,2012,16.9,24.798736572265625,14.228612899780273,83.46414184570312,1020.1156005859375,Real Observation
MALIKSI,2012,18.9,27.502838134765625,5.79455041885376,67.21642303466797,1019.9306030273438,Real Observation
PRAPIROON,2012,17.9,28.035064697265625,6.127370357513428,64.92755889892578,1019.3031005859375,Real Observation
MARIA,2012,17.8,27.833892822265625,7.2071943283081055,72.82032775878906,1019.1231079101562,Real Observation
SON-TINH,2012,9.7,28.845611572265625,9.702733039855957,75.82721710205078,1014.16064453125,Real Observation
BOPHA,2012,4.3,28.929595947265625,6.404881477355957,77.53418731689453,1012.7906494140625,Real Observation
WUKONG,2012,10.8,,4.651411056518555,,1014.8206176757812,Real Observation
SONAMU,2013,8.5,28.631744384765625,6.9145379066467285,72.97315979003906,1013.358154296875,Real Observation
YAGI,2013,18.8,27.307525634765625,8.666379928588867,69.47213745117188,1020.078125,Real Observation
LEEPI,2013,19.0,27.011627197265625,13.812898635864258,75.47017669677734,1021.3231201171875,Real Observation
BEBINCA,2013,19.1,23.964752197265625,13.396697044372559,78.71315002441406,1022.9481201171875,Real Observation
RUMBIA,2013,12.5,26.474517822265625,8.43153190612793,85.01495361328125,1015.7781372070312,Real Observation
SOULIK,2013,19.1,27.518463134765625,5.9351325035095215,66.9457015991211,1019.890625,Real Observation
CIMARON,2013,16.4,27.468658447265625,11.37269401550293,79.47511291503906,1019.3831176757812,Real Observation
JEBI,2013,15.2,25.058502197265625,11.581061363220215,88.63421630859375,1018.140625,Real Observation
MANGKHUT,2013,15.9,24.878814697265625,11.276275634765625,83.3740005493164,1020.3731079101562,Real Observation
UTOR,2013,13.6,28.228424072265625,9.980032920837402,72.33997344970703,1016.110595703125,Real Observation
UNALA,2013,17.0,26.854400634765625,11.39348030090332,59.91362762451172,1019.4806518554688,Real Observation
PEWA,2013,9.4,28.258697509765625,12.896256446838379,78.04877471923828,1013.735595703125,Real Observation
TRAMI,2013,20.3,25.895416259765625,13.745216369628906,72.90032958984375,1022.588134765625,Real Observation
KONG-REY,2013,17.7,27.356353759765625,12.740287780761719,75.0219955444336,1020.4506225585938,Real Observation
TORAJI,2013,26.6,23.706939697265625,7.211406230926514,42.488197326660156,1030.3431396484375,Real Observation
MAN-YI,2013,23.4,26.260650634765625,7.716187477111816,74.37687683105469,1021.3231201171875,Real Observation
USAGI,2013,17.4,27.956939697265625,9.470921516418457,75.00975036621094,1019.09814453125,Real Observation
PABUK,2013,19.8,26.973541259765625,4.820798397064209,69.16612243652344,1020.3331298828125,Real Observation
WUTIP,2013,16.8,24.890533447265625,12.668794631958008,87.15371704101562,1019.2681274414062,Real Observation
FITOW,2013,13.9,28.190338134765625,9.87794017791748,72.07244873046875,1016.505615234375,Real Observation
SEPAT,2013,27.2,24.538970947265625,8.394838333129883,76.6048583984375,1018.9806518554688,Real Observation
DANAS,2013,16.8,27.631744384765625,8.46745777130127,66.25692749023438,1018.545654296875,Real Observation
NARI,2013,14.4,28.328033447265625,10.593113899230957,77.37142181396484,1016.8781127929688,Real Observation
WIPHA,2013,13.5,27.929595947265625,8.338104248046875,73.25247192382812,1016.6456298828125,Real Observation
FRANCISCO,2013,11.9,27.979400634765625,8.982418060302734,69.8093490600586,1016.1531372070312,Real Observation
LEKIMA,2013,10.9,28.258697509765625,13.001288414001465,71.18524932861328,1014.7431030273438,Real Observation
KROSA,2013,16.1,28.447174072265625,9.838308334350586,76.1025161743164,1018.1331176757812,Real Observation
UNNAMED,2013,10.8,28.559478759765625,9.28841495513916,77.60126495361328,1014.53564453125,Real Observation
HAIYAN,2013,6.1,28.525299072265625,10.576068878173828,77.64612579345703,1012.5756225585938,Real Observation
LEHAR,2013,8.7,26.744049072265625,11.574448585510254,84.87395477294922,1014.34814453125,Real Observation
KAJIKI,2014,10.0,28.862213134765625,10.421841621398926,75.67462158203125,1013.5731201171875,Real Observation
FAXAI,2014,8.6,28.027252197265625,10.282548904418945,74.48314666748047,1013.7831420898438,Real Observation
PEIPAH,2014,2.6,29.326080322265625,6.10603141784668,75.10137939453125,1012.2431030273438,Real Observation
TAPAH,2014,11.7,27.870025634765625,9.50148868560791,67.6871337890625,1015.7706298828125,Real Observation
HAGIBIS,2014,20.8,24.596588134765625,13.076888084411621,69.23698425292969,1025.1856689453125,Real Observation
NEOGURI,2014,10.8,27.957916259765625,9.73337459564209,71.01997375488281,1015.443115234375,Real Observation
RAMMASUN,2014,13.6,27.996978759765625,8.194295883178711,68.5836410522461,1016.7281494140625,Real Observation
MATMO,2014,10.4,28.323150634765625,10.058507919311523,75.79289245605469,1014.900634765625,Real Observation
GENEVIEVE,2014,12.2,27.543853759765625,12.046527862548828,70.35316467285156,1015.84814453125,Real Observation
HALONG,2014,12.0,28.158111572265625,10.114601135253906,65.1334457397461,1015.8331298828125,Real Observation
NAKRI,2014,18.8,27.382720947265625,8.613669395446777,67.13134002685547,1020.130615234375,Real Observation
FENGSHEN,2014,27.8,22.335845947265625,7.654818058013916,41.3439826965332,1027.985595703125,Real Observation
KALMAEGI,2014,13.7,28.104400634765625,10.310284614562988,76.45653533935547,1016.2056274414062,Real Observation
FUNG-WONG,2014,16.8,27.378814697265625,11.738863945007324,79.19185638427734,1019.5331420898438,Real Observation
KAMMURI,2014,20.4,27.500885009765625,5.150043964385986,66.03862762451172,1020.420654296875,Real Observation
PHANFONE,2014,12.7,27.719635009765625,11.172511100769043,66.45856475830078,1015.8931274414062,Real Observation
VONGFONG,2014,8.1,28.425689697265625,10.986564636230469,75.49369049072266,1012.7481079101562,Real Observation
NURI,2014,12.8,28.436431884765625,9.41817855834961,72.68113708496094,1016.2531127929688,Real Observation
SINLAKU,2014,11.0,28.513580322265625,9.043802261352539,78.55767822265625,1014.6256103515625,Real Observation
HAGUPIT,2014,4.9,28.683502197265625,9.95089340209961,77.37061309814453,1012.4281005859375,Real Observation
JANGMI,2014,8.5,28.790924072265625,7.489647388458252,79.91764831542969,1013.8406372070312,Real Observation
MEKKHALA,2015,11.5,28.074127197265625,10.57243537902832,78.05369567871094,1015.3931274414062,Real Observation
HIGOS,2015,11.6,28.082916259765625,12.017003059387207,66.78921508789062,1014.9606323242188,Real Observation
BAVI,2015,7.2,28.423736572265625,11.182760238647461,72.20389556884766,1012.2831420898438,Real Observation
MAYSAK,2015,7.1,28.514556884765625,9.687663078308105,73.89595794677734,1013.048095703125,Real Observation
HAISHEN,2015,8.7,28.248931884765625,11.445352554321289,75.0090103149414,1013.485595703125,Real Observation
NOUL,2015,9.5,28.345611572265625,9.985013008117676,74.81761932373047,1014.255615234375,Real Observation
DOLPHIN,2015,3.8,29.397369384765625,9.005382537841797,73.05506896972656,1011.62060546875,Real Observation
KUJIRA,2015,16.4,24.778228759765625,11.768049240112305,82.73306274414062,1020.7306518554688,Real Observation
CHAN-HOM,2015,10.2,28.367095947265625,13.080799102783203,73.44088745117188,1014.2206420898438,Real Observation
LINFA,2015,15.1,28.417877197265625,10.72412395477295,69.76461791992188,1017.6031494140625,Real Observation
NANGKA,2015,9.7,28.258697509765625,12.99989128112793,76.77758026123047,1013.8931274414062,Real Observation
HALOLA,2015,11.4,28.073150634765625,12.788740158081055,69.57837677001953,1015.1381225585938,Real Observation
UNNAMED,2015,18.0,27.305572509765625,12.487067222595215,74.92473602294922,1020.890625,Real Observation
